#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
PDENDC454_12055	1042163.BRLA_c009620	4.83e-201	588.0	COG1680@1|root,COG1680@2|Bacteria,1V4BS@1239|Firmicutes,4HJRT@91061|Bacilli,26R26@186822|Paenibacillaceae	91061|Bacilli	V	Beta-lactamase class C and other penicillin binding proteins	pbpX	-	-	-	-	-	-	-	-	-	-	-	Beta-lactamase,SLH
PDENDC454_12070	1211035.CD30_19725	1.73e-197	551.0	COG2378@1|root,COG2378@2|Bacteria,1U968@1239|Firmicutes,4HB5H@91061|Bacilli,3IWIP@400634|Lysinibacillus	91061|Bacilli	K	Transcriptional regulator	yobV9	-	-	-	-	-	-	-	-	-	-	-	HTH_11,WYL
PDENDC454_12075	1211035.CD30_19090	8.51e-136	386.0	COG0693@1|root,COG0693@2|Bacteria,1TPJK@1239|Firmicutes,4HAMB@91061|Bacilli,3IX28@400634|Lysinibacillus	91061|Bacilli	S	DJ-1/PfpI family	-	-	-	-	-	-	-	-	-	-	-	-	DJ-1_PfpI
PDENDC454_12080	315730.BcerKBAB4_5647	2.55e-104	306.0	COG3000@1|root,COG3000@2|Bacteria,1V2XN@1239|Firmicutes,4HFS5@91061|Bacilli,1ZGHZ@1386|Bacillus	91061|Bacilli	I	Fatty acid hydroxylase	-	-	-	-	-	-	-	-	-	-	-	-	FA_hydroxylase
PDENDC454_12085	1117108.PAALTS15_17386	5.68e-119	342.0	COG1309@1|root,COG1309@2|Bacteria,1V1M8@1239|Firmicutes,4HV76@91061|Bacilli,275FZ@186822|Paenibacillaceae	91061|Bacilli	K	Bacterial transcriptional repressor C-terminal	-	-	-	-	-	-	-	-	-	-	-	-	TetR_C_11,TetR_N
PDENDC454_12090	1122927.KB895412_gene720	7.2e-238	659.0	COG0477@1|root,COG2814@2|Bacteria,1TS0E@1239|Firmicutes,4HE0M@91061|Bacilli,26RTW@186822|Paenibacillaceae	91061|Bacilli	EGP	MFS transporter	ydeR	-	-	-	-	-	-	-	-	-	-	-	MFS_1,Sugar_tr
PDENDC454_12095	1122927.KB895412_gene723	0.0	901.0	COG0579@1|root,COG0579@2|Bacteria,1TNZY@1239|Firmicutes,4H9PS@91061|Bacilli,26QFX@186822|Paenibacillaceae	91061|Bacilli	S	malate quinone oxidoreductase	mqo	-	1.1.5.4	ko:K00116	ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map01100,map01110,map01120,map01130,map01200	M00009,M00011	R00360,R00361,R01257	RC00031	ko00000,ko00001,ko00002,ko01000	-	-	iSB619.SA_RS12375	Mqo
PDENDC454_12100	1196323.ALKF01000196_gene2120	5.52e-260	715.0	COG1476@1|root,COG2856@1|root,COG1476@2|Bacteria,COG2856@2|Bacteria,1TSEK@1239|Firmicutes,4HBGW@91061|Bacilli,26TAG@186822|Paenibacillaceae	91061|Bacilli	EK	IrrE N-terminal-like domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3,Peptidase_M78
PDENDC454_12105	189425.PGRAT_19805	0.000515	45.4	COG0457@1|root,COG0457@2|Bacteria,1VDZT@1239|Firmicutes,4HX3R@91061|Bacilli,26Z1E@186822|Paenibacillaceae	91061|Bacilli	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_12110	1236976.JCM16418_2415	1.15e-191	539.0	COG3568@1|root,COG3568@2|Bacteria,1U5BI@1239|Firmicutes,4HE49@91061|Bacilli,26S8P@186822|Paenibacillaceae	91061|Bacilli	S	endonuclease exonuclease phosphatase family protein	-	-	-	-	-	-	-	-	-	-	-	-	Exo_endo_phos
PDENDC454_12115	1449063.JMLS01000024_gene3710	0.0	1374.0	COG0642@1|root,COG0745@1|root,COG2972@1|root,COG0745@2|Bacteria,COG2205@2|Bacteria,COG2972@2|Bacteria,1TRIG@1239|Firmicutes,4HD8X@91061|Bacilli,26QIJ@186822|Paenibacillaceae	91061|Bacilli	T	Histidine kinase	-	-	-	-	-	-	-	-	-	-	-	-	7TMR-DISM_7TM,HATPase_c,HisKA,His_kinase,Response_reg
PDENDC454_12120	189426.PODO_02010	3.42e-43	155.0	COG1595@1|root,COG1595@2|Bacteria,1V70Y@1239|Firmicutes,4HINM@91061|Bacilli,26T02@186822|Paenibacillaceae	91061|Bacilli	K	Belongs to the sigma-70 factor family. ECF subfamily	rpoD3	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	DUF1835,Sigma70_r2,Sigma70_r4_2
PDENDC454_12125	1403313.AXBR01000005_gene1760	6.14e-134	383.0	COG2102@1|root,COG2102@2|Bacteria,1UAKZ@1239|Firmicutes,4HDX8@91061|Bacilli,1ZS01@1386|Bacillus	91061|Bacilli	S	Diphthamide synthase	-	-	-	-	-	-	-	-	-	-	-	-	Diphthami_syn_2
PDENDC454_12130	1444309.JAQG01000022_gene1448	5.19e-124	355.0	COG2197@1|root,COG2197@2|Bacteria,1TVTF@1239|Firmicutes,4HAJW@91061|Bacilli,26W28@186822|Paenibacillaceae	91061|Bacilli	KT	helix_turn_helix, Lux Regulon	desR	-	-	ko:K07693	ko02020,map02020	M00479	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	GerE,Response_reg
PDENDC454_12135	1117108.PAALTS15_17466	1.58e-145	424.0	COG4585@1|root,COG4585@2|Bacteria,1TSUE@1239|Firmicutes,4HB9N@91061|Bacilli,26SPK@186822|Paenibacillaceae	91061|Bacilli	T	Histidine kinase	desK	-	2.7.13.3	ko:K07778	ko02020,map02020	M00479	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c,HisKA_3
PDENDC454_12140	1117108.PAALTS15_17471	8e-218	607.0	COG2311@1|root,COG2311@2|Bacteria,1TR0W@1239|Firmicutes,4HB4Y@91061|Bacilli,275ZY@186822|Paenibacillaceae	91061|Bacilli	S	Protein of unknown function (DUF418)	-	-	-	ko:K07148	-	-	-	-	ko00000	-	-	-	DUF418
PDENDC454_12145	743719.PaelaDRAFT_0330	5.59e-148	419.0	COG4760@1|root,COG4760@2|Bacteria,1TQ9Z@1239|Firmicutes,4HEPV@91061|Bacilli,26SQG@186822|Paenibacillaceae	91061|Bacilli	S	membrane	-	-	-	-	-	-	-	-	-	-	-	-	BaxI_1
PDENDC454_12150	1196323.ALKF01000196_gene2133	1.06e-111	326.0	COG3714@1|root,COG3714@2|Bacteria,1V3FV@1239|Firmicutes,4HGBW@91061|Bacilli,26XK2@186822|Paenibacillaceae	91061|Bacilli	S	YhhN family	-	-	-	-	-	-	-	-	-	-	-	-	YhhN
PDENDC454_12155	1196323.ALKF01000196_gene2146	8.94e-85	254.0	2BTFX@1|root,32NN6@2|Bacteria,1U19J@1239|Firmicutes,4IARP@91061|Bacilli,2732S@186822|Paenibacillaceae	91061|Bacilli	S	SUKH-3 immunity protein	-	-	-	-	-	-	-	-	-	-	-	-	SUKH-3
PDENDC454_12160	1408254.T458_11665	6.25e-146	421.0	COG3173@1|root,COG3173@2|Bacteria,1V8HV@1239|Firmicutes,4HJK3@91061|Bacilli,275UQ@186822|Paenibacillaceae	91061|Bacilli	S	Phosphotransferase enzyme family	-	-	-	-	-	-	-	-	-	-	-	-	APH
PDENDC454_12165	1227349.C170_06159	4.3e-28	111.0	2FKF9@1|root,34C2J@2|Bacteria,1W0HR@1239|Firmicutes,4HY5I@91061|Bacilli,26ZW1@186822|Paenibacillaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	HTH_17
PDENDC454_12170	1501230.ET33_07080	7.31e-68	206.0	COG2824@1|root,COG2824@2|Bacteria,1V6NA@1239|Firmicutes,4HIKN@91061|Bacilli,26XT9@186822|Paenibacillaceae	91061|Bacilli	P	Alkylphosphonate utilization protein	phnA	-	-	ko:K06193	ko01120,map01120	-	-	-	ko00000	-	-	-	PhnA,PhnA_Zn_Ribbon
PDENDC454_12175	1227349.C170_01894	6.06e-35	128.0	COG2334@1|root,COG2334@2|Bacteria,1UZVZ@1239|Firmicutes,4HFK4@91061|Bacilli,26VV4@186822|Paenibacillaceae	91061|Bacilli	S	homoserine kinase type II (protein kinase fold)	hsK1	-	-	-	-	-	-	-	-	-	-	-	APH
PDENDC454_12185	1122918.KB907276_gene4153	2.35e-29	109.0	COG1396@1|root,COG1396@2|Bacteria,1VK84@1239|Firmicutes,4HRT8@91061|Bacilli,26ZRU@186822|Paenibacillaceae	91061|Bacilli	K	transcriptional	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
PDENDC454_12190	1196323.ALKF01000196_gene2130	1.09e-179	504.0	COG1051@1|root,COG1051@2|Bacteria,1TST7@1239|Firmicutes,4HEFP@91061|Bacilli,26R7T@186822|Paenibacillaceae	91061|Bacilli	F	ADP-ribose pyrophosphatase	-	-	-	-	-	-	-	-	-	-	-	-	NUDIX
PDENDC454_12195	1196323.ALKF01000196_gene2131	1.06e-109	318.0	COG5113@1|root,COG3236@2|Bacteria,1UY8T@1239|Firmicutes,4HH0H@91061|Bacilli,26QSC@186822|Paenibacillaceae	91061|Bacilli	O	Domain of unknown function (DUF1768)	-	-	-	ko:K09935	-	-	-	-	ko00000	-	-	-	DUF1768
PDENDC454_12200	1196323.ALKF01000196_gene2132	4.53e-141	405.0	COG4295@1|root,COG4295@2|Bacteria,1TSFT@1239|Firmicutes,4HGDA@91061|Bacilli,26QRJ@186822|Paenibacillaceae	91061|Bacilli	S	Uncharacterized protein conserved in bacteria (DUF2263)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2263
PDENDC454_12205	1007103.AFHW01000010_gene6118	3.85e-202	568.0	28PFH@1|root,2ZC6N@2|Bacteria,1UZY8@1239|Firmicutes,4HT4X@91061|Bacilli,275YU@186822|Paenibacillaceae	91061|Bacilli	S	Domain of unknown function (DUF4272)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4272
PDENDC454_12210	1117108.PAALTS15_14886	1.06e-161	457.0	COG1284@1|root,COG1284@2|Bacteria,1TRAU@1239|Firmicutes,4H9UY@91061|Bacilli,26RDC@186822|Paenibacillaceae	91061|Bacilli	S	Uncharacterised 5xTM membrane BCR, YitT family COG1284	yxkD	-	-	-	-	-	-	-	-	-	-	-	DUF2179,YitT_membrane
PDENDC454_12215	1007103.AFHW01000029_gene1634	2.95e-234	660.0	28JTC@1|root,2Z9IN@2|Bacteria,1UDME@1239|Firmicutes,4HEG9@91061|Bacilli,26V26@186822|Paenibacillaceae	91061|Bacilli	S	Psort location Cytoplasmic, score	-	-	-	-	-	-	-	-	-	-	-	-	-
PDENDC454_12220	1444309.JAQG01000022_gene1490	6.81e-40	133.0	COG3655@1|root,COG3655@2|Bacteria,1VCSZ@1239|Firmicutes,4HM03@91061|Bacilli,26YXQ@186822|Paenibacillaceae	91061|Bacilli	K	Cro/C1-type HTH DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_26
PDENDC454_12225	1444309.JAQG01000022_gene1491	1.86e-96	283.0	COG0242@1|root,COG0242@2|Bacteria,1V70B@1239|Firmicutes,4HGBB@91061|Bacilli,26WYF@186822|Paenibacillaceae	91061|Bacilli	J	Removes the formyl group from the N-terminal Met of newly synthesized proteins. Requires at least a dipeptide for an efficient rate of reaction. N-terminal L-methionine is a prerequisite for activity but the enzyme has broad specificity at other positions	-	-	3.5.1.88	ko:K01462	-	-	-	-	ko00000,ko01000	-	-	-	Pep_deformylase
PDENDC454_12230	868595.Desca_2688	1.08e-243	681.0	COG1115@1|root,COG1115@2|Bacteria,1TNZP@1239|Firmicutes,247S6@186801|Clostridia	186801|Clostridia	E	amino acid carrier protein	glnT	-	-	ko:K03310	-	-	-	-	ko00000	2.A.25	-	-	Na_Ala_symp
PDENDC454_12235	1394178.AWOO02000120_gene884	6.92e-08	63.9	COG5184@1|root,COG5184@2|Bacteria,2IG31@201174|Actinobacteria	201174|Actinobacteria	DZ	PFAM regulator of chromosome condensation, RCC1	-	-	-	-	-	-	-	-	-	-	-	-	Pkinase,RCC1
PDENDC454_12240	1118054.CAGW01000022_gene4100	1.1e-109	322.0	COG0846@1|root,COG0846@2|Bacteria,1TQKD@1239|Firmicutes,4HC4I@91061|Bacilli,26TH4@186822|Paenibacillaceae	91061|Bacilli	K	NAD-dependent protein deacetylase which modulates the activities of several enzymes which are inactive in their acetylated form	cobB	-	-	ko:K12410	-	-	-	-	ko00000,ko01000	-	-	-	SIR2
PDENDC454_12245	1196323.ALKF01000196_gene2142	5.96e-185	520.0	COG0609@1|root,COG0609@2|Bacteria,1TPX6@1239|Firmicutes,4HAM8@91061|Bacilli,26QNB@186822|Paenibacillaceae	91061|Bacilli	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	fhuG	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
PDENDC454_12250	1196323.ALKF01000196_gene2143	1.27e-149	431.0	COG0609@1|root,COG0609@2|Bacteria,1TP13@1239|Firmicutes,4HA75@91061|Bacilli,26QHV@186822|Paenibacillaceae	91061|Bacilli	P	Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily	fhuB	-	-	ko:K02015	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	FecCD
PDENDC454_12255	1196323.ALKF01000196_gene2144	2.33e-169	479.0	COG0614@1|root,COG0614@2|Bacteria,1TQMK@1239|Firmicutes,4HBP4@91061|Bacilli,26R4E@186822|Paenibacillaceae	91061|Bacilli	P	PFAM periplasmic binding protein	fhuD	-	-	ko:K02016	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	Peripla_BP_2
PDENDC454_12260	1117108.PAALTS15_17681	1.27e-162	458.0	COG1120@1|root,COG1120@2|Bacteria,1TP2Q@1239|Firmicutes,4HADG@91061|Bacilli,26QF4@186822|Paenibacillaceae	91061|Bacilli	HP	Part of the FecBCDE citrate-dependent iron (III) transport system	fhuC	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
PDENDC454_12265	1196323.ALKF01000196_gene2145	2.64e-214	596.0	COG0492@1|root,COG0492@2|Bacteria,1TRPN@1239|Firmicutes,4HACJ@91061|Bacilli,26SDA@186822|Paenibacillaceae	91061|Bacilli	C	Ferredoxin--NADP reductase	-	-	1.18.1.2,1.19.1.1	ko:K21567	-	-	-	-	ko00000,ko01000	-	-	-	Pyr_redox_2,Pyr_redox_3
PDENDC454_11620	1196323.ALKF01000191_gene5564	2.42e-93	275.0	COG0802@1|root,COG0802@2|Bacteria,1V6CV@1239|Firmicutes,4HIIF@91061|Bacilli,26XDA@186822|Paenibacillaceae	91061|Bacilli	S	ATP-binding protein	ydiB	GO:0002949,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360	-	ko:K06925	-	-	-	-	ko00000,ko03016	-	-	-	TsaE
PDENDC454_11625	1196323.ALKF01000191_gene5563	6.31e-99	298.0	COG1214@1|root,COG1214@2|Bacteria,1V4YX@1239|Firmicutes,4HHD7@91061|Bacilli,26REA@186822|Paenibacillaceae	91061|Bacilli	O	Peptidase, M22	yeaZ	GO:0002949,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360	2.3.1.234	ko:K01409,ko:K14742	-	-	R10648	RC00070,RC00416	ko00000,ko01000,ko03016	-	-	-	Peptidase_M22
PDENDC454_11630	1196323.ALKF01000191_gene5562	1.64e-77	236.0	COG0454@1|root,COG0456@2|Bacteria,1V6KU@1239|Firmicutes,4HIKU@91061|Bacilli,26RAQ@186822|Paenibacillaceae	91061|Bacilli	K	Acetyltransferase	rimI	-	2.3.1.128	ko:K03789	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Acetyltransf_1
PDENDC454_11635	1196323.ALKF01000191_gene5561	1.77e-201	563.0	COG0533@1|root,COG0533@2|Bacteria,1TQDR@1239|Firmicutes,4HANB@91061|Bacilli,26SCA@186822|Paenibacillaceae	91061|Bacilli	O	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction	tsaD	GO:0000408,GO:0002949,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0070525,GO:0071704,GO:0090304,GO:1901360	2.3.1.234	ko:K01409	-	-	R10648	RC00070,RC00416	ko00000,ko01000,ko03016	-	-	-	Peptidase_M22
PDENDC454_11640	1196323.ALKF01000191_gene5559	1.29e-301	836.0	COG0119@1|root,COG0119@2|Bacteria,1TT0F@1239|Firmicutes,4HEGJ@91061|Bacilli,26S4P@186822|Paenibacillaceae	91061|Bacilli	E	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)	-	-	2.3.3.13	ko:K01649	ko00290,ko00620,ko01100,ko01110,ko01210,ko01230,map00290,map00620,map01100,map01110,map01210,map01230	M00432	R01213	RC00004,RC00470,RC02754	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	HMGL-like,LeuA_dimer
PDENDC454_11645	649747.HMPREF0083_00532	1.82e-71	219.0	COG2606@1|root,COG2606@2|Bacteria,1V3MU@1239|Firmicutes,4HGFP@91061|Bacilli,26WYT@186822|Paenibacillaceae	91061|Bacilli	S	Aminoacyl-tRNA editing domain	-	-	-	-	-	-	-	-	-	-	-	-	tRNA_edit
PDENDC454_11650	1196323.ALKF01000191_gene5557	0.0	964.0	COG0488@1|root,COG0488@2|Bacteria,1TPAX@1239|Firmicutes,4HBVV@91061|Bacilli,26TRJ@186822|Paenibacillaceae	91061|Bacilli	S	Multidrug ABC transporter ATP-binding protein	ydiF	-	-	ko:K06158	-	-	-	-	ko00000,ko03012	-	-	-	ABC_tran,ABC_tran_CTD,ABC_tran_Xtn
PDENDC454_11655	1118054.CAGW01000041_gene1009	3.68e-205	581.0	COG2239@1|root,COG2239@2|Bacteria,1TP4V@1239|Firmicutes,4HASP@91061|Bacilli,26U61@186822|Paenibacillaceae	91061|Bacilli	P	Acts as a magnesium transporter	mgtE	-	-	ko:K06213	-	-	-	-	ko00000,ko02000	1.A.26.1	-	-	CBS,MgtE,MgtE_N
PDENDC454_11660	1122927.KB895413_gene1378	3.91e-164	471.0	COG0772@1|root,COG0772@2|Bacteria,1TPT7@1239|Firmicutes,4HAEV@91061|Bacilli,26SSY@186822|Paenibacillaceae	91061|Bacilli	D	Belongs to the SEDS family	-	-	-	ko:K03588	ko04112,map04112	-	-	-	ko00000,ko00001,ko02000,ko03036	2.A.103.1	-	-	FTSW_RODA_SPOVE
PDENDC454_11665	1196323.ALKF01000175_gene207	4.14e-175	498.0	COG0772@1|root,COG0772@2|Bacteria,1TPGH@1239|Firmicutes,4HAV4@91061|Bacilli,26SQ0@186822|Paenibacillaceae	91061|Bacilli	D	Belongs to the SEDS family	ftsW	-	-	ko:K05837	-	-	-	-	ko00000,ko03036	-	-	-	FTSW_RODA_SPOVE
PDENDC454_11670	1196323.ALKF01000191_gene5556	5.05e-72	225.0	COG0212@1|root,COG0212@2|Bacteria,1VA91@1239|Firmicutes,4HM35@91061|Bacilli,26ZIC@186822|Paenibacillaceae	91061|Bacilli	H	Belongs to the 5-formyltetrahydrofolate cyclo-ligase family	fthC	GO:0003674,GO:0003824,GO:0006082,GO:0006575,GO:0006725,GO:0006730,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009396,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016882,GO:0018130,GO:0019438,GO:0019752,GO:0030272,GO:0034641,GO:0035999,GO:0042398,GO:0042558,GO:0042559,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0046653,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	6.3.3.2	ko:K01934	ko00670,ko01100,map00670,map01100	-	R02301	RC00183	ko00000,ko00001,ko01000	-	-	-	5-FTHF_cyc-lig
PDENDC454_11675	1196323.ALKF01000191_gene5554	1.02e-90	268.0	COG0521@1|root,COG0521@2|Bacteria,1V3XM@1239|Firmicutes,4HHPP@91061|Bacilli,26QMR@186822|Paenibacillaceae	91061|Bacilli	H	Molybdenum cofactor biosynthesis protein	moaB	-	-	-	-	-	-	-	-	-	-	-	MoCF_biosynth
PDENDC454_11680	1117108.PAALTS15_10169	9.69e-35	120.0	COG1826@1|root,COG1826@2|Bacteria,1VFP2@1239|Firmicutes,4HNM7@91061|Bacilli,26ZSU@186822|Paenibacillaceae	91061|Bacilli	U	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes. TatA could form the protein-conducting channel of the Tat system	tatA	-	-	ko:K03116	ko03060,ko03070,map03060,map03070	M00336	-	-	ko00000,ko00001,ko00002,ko02044	2.A.64	-	-	MttA_Hcf106
PDENDC454_11685	1196323.ALKF01000191_gene5552	1.64e-143	409.0	COG0805@1|root,COG0805@2|Bacteria,1U7N7@1239|Firmicutes,4HB1U@91061|Bacilli,26U09@186822|Paenibacillaceae	91061|Bacilli	U	Part of the twin-arginine translocation (Tat) system that transports large folded proteins containing a characteristic twin-arginine motif in their signal peptide across membranes	tatC	-	-	ko:K03118	ko03060,ko03070,map03060,map03070	M00336	-	-	ko00000,ko00001,ko00002,ko02044	2.A.64	-	-	TatC
PDENDC454_11690	1196323.ALKF01000191_gene5551	5.71e-58	179.0	COG0234@1|root,COG0234@2|Bacteria,1V9ZM@1239|Firmicutes,4HKEK@91061|Bacilli,26Y5D@186822|Paenibacillaceae	91061|Bacilli	O	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter	groS	GO:0003674,GO:0005488,GO:0005515,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008150,GO:0009987,GO:0010033,GO:0035966,GO:0042221,GO:0042802,GO:0043167,GO:0043169,GO:0046872,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0061077	-	ko:K04078	-	-	-	-	ko00000,ko03029,ko03110	-	-	-	Cpn10
PDENDC454_11695	1196323.ALKF01000191_gene5550	0.0	900.0	COG0459@1|root,COG0459@2|Bacteria,1TP1T@1239|Firmicutes,4HA38@91061|Bacilli,26QX2@186822|Paenibacillaceae	91061|Bacilli	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	groL	GO:0001817,GO:0001819,GO:0001871,GO:0002791,GO:0002793,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0008150,GO:0009986,GO:0009987,GO:0016465,GO:0030246,GO:0030247,GO:0032677,GO:0032757,GO:0032879,GO:0032880,GO:0032991,GO:0044183,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044764,GO:0046812,GO:0048518,GO:0048522,GO:0050707,GO:0050708,GO:0050714,GO:0050715,GO:0050789,GO:0050794,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051082,GO:0051222,GO:0051223,GO:0051239,GO:0051240,GO:0051704,GO:0061077,GO:0065007,GO:0070201,GO:0090087,GO:0098630,GO:0098743,GO:0101031,GO:1903530,GO:1903532,GO:1904951,GO:1990220,GO:2000482,GO:2000484,GO:2001065	-	ko:K04077	ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	-	-	-	Cpn60_TCP1
PDENDC454_11710	1117108.PAALTS15_27389	2.14e-33	130.0	COG3666@1|root,COG3666@2|Bacteria,1TQQ9@1239|Firmicutes,4H9KK@91061|Bacilli,26U3R@186822|Paenibacillaceae	91061|Bacilli	L	Transposase	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_1,DDE_Tnp_1_6,DUF772
PDENDC454_11715	1196323.ALKF01000199_gene2495	1.87e-295	828.0	COG0840@1|root,COG0840@2|Bacteria,1TP5A@1239|Firmicutes,4H9RZ@91061|Bacilli,26QU5@186822|Paenibacillaceae	91061|Bacilli	NT	chemotaxis protein	-	-	-	ko:K03406	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	HAMP,MCPsignal,dCache_1
PDENDC454_11720	1117108.PAALTS15_07564	0.0	870.0	COG3104@1|root,COG3104@2|Bacteria,1TP81@1239|Firmicutes,4HAF2@91061|Bacilli,26UHN@186822|Paenibacillaceae	91061|Bacilli	E	POT family	dtpT	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K03305	-	-	-	-	ko00000	2.A.17	-	-	PTR2
PDENDC454_11725	1122915.AUGY01000104_gene4776	1.35e-39	133.0	COG2336@1|root,COG2336@2|Bacteria,1U64B@1239|Firmicutes,4IJJ0@91061|Bacilli,26Z46@186822|Paenibacillaceae	91061|Bacilli	T	SpoVT / AbrB like domain	-	-	-	-	-	-	-	-	-	-	-	-	MazE_antitoxin
PDENDC454_11730	1034769.KB910518_gene3377	5.55e-53	168.0	COG2337@1|root,COG2337@2|Bacteria,1VBXM@1239|Firmicutes,4HM83@91061|Bacilli,26YHK@186822|Paenibacillaceae	91061|Bacilli	T	PemK-like, MazF-like toxin of type II toxin-antitoxin system	-	-	-	ko:K07171	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	PemK_toxin
PDENDC454_11735	1196323.ALKF01000160_gene5106	2.05e-115	335.0	COG5632@1|root,COG5632@2|Bacteria,1V7KT@1239|Firmicutes,4HJ9N@91061|Bacilli,26ZEE@186822|Paenibacillaceae	91061|Bacilli	M	Ami_2	xlyA	-	3.5.1.28	ko:K01447	-	-	R04112	RC00064,RC00141	ko00000,ko01000	-	-	-	Amidase_2,LysM,PG_binding_1,SLH
PDENDC454_11740	1122918.KB907246_gene1302	9.77e-285	783.0	COG0644@1|root,COG0644@2|Bacteria,1TR0D@1239|Firmicutes,4HBWH@91061|Bacilli,26SAR@186822|Paenibacillaceae	91061|Bacilli	C	FAD dependent oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	FAD_oxidored
